wala,wac,n0,k_term
359.0,7.25,2663.0,2638
359.0,8.875,667.0,665
358.0,7.25,312.0,309
358.0,7.875,1453.0,1447
357.0,8.313,7734.0,7697
357.0,8.75,4763.0,4757
357.0,9.0,982.0,980
357.0,7.5,712.0,712
357.0,8.375,5774.0,5758
357.0,8.733,5102.0,5091
357.0,7.875,768.0,765
355.0,8.351,3728.0,3721
355.0,8.739,10840.0,10820
354.0,7.875,570.0,569
355.0,8.25,7725.0,7705
355.0,8.724,5382.0,5373
354.0,9.0,1556.0,1555
356.0,7.15,26.0,26
354.0,8.307,4438.0,4431
354.0,8.678,6731.0,6711
353.0,9.0,1568.0,1567
353.0,7.875,1154.0,1149
353.0,8.311,7277.0,7260
352.0,8.627,6549.0,6536
355.0,9.0,1584.0,1582
351.0,7.25,74.0,72
352.0,7.698,3269.0,3256
352.0,8.271,8393.0,8378
352.0,8.581,3675.0,3661
352.0,7.25,573.0,570
354.0,7.38,109.0,109
351.0,7.791,7348.0,7305
351.0,8.168,7077.0,7025
351.0,8.648,3411.0,3400
350.0,9.0,503.0,501
350.0,7.772,3954.0,3948
350.0,8.24,5974.0,5954
351.0,8.682,2224.0,2221
348.0,7.375,120.0,120
351.0,7.15,367.0,360
349.0,7.789,3727.0,3697
349.0,8.265,7566.0,7544
349.0,8.75,2692.0,2688
355.0,7.38,59.0,58
348.0,7.824,3988.0,3963
348.0,8.248,9007.0,8973
348.0,8.717,2793.0,2787
349.0,9.0,488.0,487
348.0,7.717,1742.0,1726
346.0,8.294,10117.0,10072
346.0,8.703,6097.0,6087
347.0,9.0,1165.0,1162
346.0,7.0,86.0,85
345.0,8.284,10848.0,10824
346.0,8.732,6969.0,6951
344.0,7.781,4960.0,4923
345.0,8.217,15018.0,14985
345.0,8.701,4304.0,4293
344.0,7.368,732.0,732
344.0,7.789,11348.0,11271
344.0,8.279,9795.0,9751
344.0,8.75,4055.0,4048
343.0,7.498,2731.0,2720
343.0,7.799,16032.0,15959
343.0,8.262,6933.0,6915
343.0,8.76,2851.0,2847
342.0,7.262,2030.0,2011
342.0,7.808,14949.0,14904
342.0,8.281,7055.0,7027
342.0,8.671,3100.0,3091
341.0,6.875,92.0,92
341.0,7.266,3872.0,3853
341.0,7.771,14406.0,14349
341.0,8.291,4946.0,4925
342.0,8.663,1706.0,1703
342.0,9.0,186.0,186
346.0,6.5,194.0,192
340.0,7.28,6567.0,6530
340.0,7.774,15705.0,15620
340.0,8.25,6624.0,6595
340.0,8.75,1108.0,1102
341.0,6.834,523.0,515
339.0,7.311,7885.0,7817
339.0,7.776,12937.0,12836
339.0,8.184,5227.0,5212
338.0,8.5,1118.0,1117
338.0,6.835,1292.0,1279
338.0,7.317,11190.0,11124
338.0,7.743,8359.0,8313
338.0,8.309,3594.0,3589
341.0,8.75,481.0,477
337.0,6.812,2836.0,2772
337.0,7.296,17294.0,17143
337.0,7.778,10419.0,10365
337.0,8.248,2488.0,2482
336.0,9.0,64.0,62
336.0,6.812,2460.0,2440
336.0,7.295,21542.0,21278
336.0,7.709,12461.0,12400
336.0,8.192,2833.0,2821
335.0,6.782,1492.0,1467
335.0,7.315,21610.0,21459
335.0,7.721,14420.0,14271
336.0,8.09,4893.0,4859
334.0,6.743,1840.0,1818
334.0,7.295,30144.0,29826
334.0,7.731,17316.0,17222
335.0,8.218,4989.0,4971
333.0,6.796,1773.0,1748
333.0,7.301,26796.0,26636
333.0,7.766,15919.0,15830
334.0,8.078,4493.0,4470
332.0,6.81,2669.0,2639
332.0,7.27,25926.0,25618
332.0,7.756,13325.0,13209
332.0,8.178,3679.0,3670
331.0,6.802,4971.0,4905
331.0,7.287,24956.0,24808
331.0,7.694,13177.0,13115
331.0,8.25,5810.0,5785
329.0,6.265,146.0,146
330.0,6.801,13109.0,12954
330.0,7.273,21298.0,21143
330.0,7.7,8362.0,8284
331.0,8.141,2504.0,2497
329.0,6.375,437.0,433
329.0,6.811,16681.0,16472
329.0,7.288,14354.0,14268
331.0,7.77,5985.0,5958
330.0,8.235,1313.0,1297
328.0,6.334,527.0,513
328.0,6.806,16490.0,16288
328.0,7.272,14256.0,14078
328.0,7.751,5145.0,5101
330.0,8.089,798.0,796
327.0,8.5,90.0,90
327.0,6.375,535.0,520
327.0,6.799,15812.0,15589
327.0,7.259,12354.0,12181
328.0,7.742,5046.0,5027
