wala,wac,n0,k_term
345.0,7.796,49,0
344.0,7.807,45,0
343.0,7.768,31,0
342.0,7.276,26,0
342.0,7.767,44,1
341.0,7.311,25,1
341.0,7.773,34,0
340.0,7.317,36,1
339.0,7.296,53,1
339.0,7.778,41,2
338.0,7.296,72,2
338.0,7.707,33,1
337.0,7.316,73,0
337.0,7.721,34,0
336.0,7.295,108,3
336.0,7.73,48,3
335.0,7.302,90,3
335.0,7.764,48,2
334.0,7.268,81,0
334.0,7.756,49,0
333.0,7.288,96,4
333.0,7.691,53,1
332.0,6.798,74,2
332.0,7.273,84,1
332.0,7.698,36,0
331.0,6.81,113,1
331.0,7.289,62,0
330.0,6.805,103,4
330.0,7.271,75,1
329.0,6.799,89,0
329.0,7.261,55,0
328.0,6.802,74,0
328.0,7.241,50,0
327.0,6.818,70,2
327.0,7.253,77,2
326.0,6.811,28,0
326.0,7.272,95,0
326.0,7.759,35,0
325.0,6.805,30,0
325.0,7.283,98,4
325.0,7.744,34,0
324.0,7.272,72,2
324.0,7.751,33,0
323.0,7.304,44,0
323.0,7.764,78,2
323.0,8.251,25,0
322.0,7.797,62,0
322.0,8.261,51,1
321.0,7.805,27,1
321.0,8.267,39,1
320.0,8.284,49,0
319.0,8.273,37,1
317.0,8.29,48,0
317.0,8.274,29,0
314.0,8.769,39,1
311.0,8.768,25,1
311.0,8.315,43,0
312.0,8.79,39,0
309.0,8.291,49,0
308.0,8.288,42,0
308.0,8.788,29,1
307.0,7.815,38,1
307.0,8.29,47,0
307.0,8.8,27,0
306.0,7.806,57,0
306.0,8.269,47,1
305.0,7.768,50,2
305.0,8.29,28,0
304.0,6.847,39,0
304.0,7.307,70,0
304.0,7.784,59,0
303.0,6.79,54,1
303.0,7.28,112,1
303.0,7.779,54,0
304.0,8.285,26,0
302.0,6.814,46,0
302.0,7.263,132,0
302.0,7.767,64,3
301.0,6.823,66,2
301.0,7.303,123,0
301.0,7.746,66,0
300.0,6.838,32,0
300.0,7.302,138,2
300.0,7.754,87,1
299.0,6.795,32,0
299.0,7.289,142,3
299.0,7.774,94,2
298.0,6.787,32,1
298.0,7.294,145,1
298.0,7.758,78,1
297.0,6.85,58,0
297.0,7.285,138,0
297.0,7.767,81,0
295.0,6.808,163,2
296.0,7.252,121,1
296.0,7.743,55,0
295.0,6.279,28,0
295.0,6.804,215,2
295.0,7.261,80,1
297.0,7.778,28,0
294.0,6.313,40,0
294.0,6.791,193,2
294.0,7.28,87,0
294.0,7.743,27,0
293.0,6.282,31,0
293.0,6.785,145,0
293.0,7.263,95,1
293.0,7.734,39,5
292.0,6.804,89,1
292.0,7.245,100,1
293.0,7.735,38,0
291.0,6.795,91,0
291.0,7.284,85,0
293.0,7.679,28,0
290.0,6.801,79,0
290.0,7.27,148,0
290.0,7.751,41,0
289.0,6.802,58,1
289.0,7.282,166,3
289.0,7.731,42,1
288.0,6.838,99,2
288.0,7.261,159,1
288.0,7.68,27,0
286.0,6.789,167,1
287.0,7.267,156,3
285.0,6.34,29,0
286.0,6.785,312,4
286.0,7.262,104,1
284.0,6.32,138,1
285.0,6.767,249,5
285.0,7.271,42,2
284.0,6.28,174,4
284.0,6.766,170,1
285.0,7.236,37,0
283.0,6.279,282,4
283.0,6.748,151,1
282.0,5.799,58,0
282.0,6.264,423,1
282.0,6.775,147,0
281.0,5.848,71,0
281.0,6.255,346,1
281.0,6.745,132,1
280.0,5.834,104,1
280.0,6.284,372,2
281.0,6.737,89,2
278.0,5.813,237,2
279.0,6.257,374,2
280.0,6.729,79,1
278.0,5.806,303,6
278.0,6.27,353,4
279.0,6.8,38,1
277.0,5.81,510,5
277.0,6.26,341,3
279.0,6.731,35,0
276.0,5.196,30,0
276.0,5.57,428,1
