x0,y0,x1,y1
0.312500,0.406250,0.375000,0.421875
0.500000,0.359375,0.625000,0.375000
0.312500,0.468750,0.375000,0.500000
0.375000,0.296875,0.500000,0.312500
0.375000,0.187500,0.500000,0.218750
0.750000,0.375000,1.000000,0.500000
0.500000,0.351562,0.625000,0.359375
0.562500,0.406250,0.625000,0.437500
0.875000,0.687500,0.937500,0.750000
0.625000,0.359375,0.750000,0.375000
0.000000,0.062500,0.125000,0.125000
0.656250,0.750000,0.687500,0.875000
0.593750,0.875000,0.625000,1.000000
0.250000,0.750000,0.265625,1.000000
0.500000,0.218750,1.000000,0.250000
0.500000,0.250000,1.000000,0.281250
0.812500,0.687500,0.875000,0.750000
0.250000,0.328125,0.500000,0.343750
0.125000,0.171875,0.250000,0.187500
0.500000,0.296875,0.750000,0.312500
0.312500,0.375000,0.375000,0.390625
0.312500,0.281250,0.375000,0.296875
0.156250,0.257812,0.187500,0.265625
0.562500,0.875000,0.593750,1.000000
0.500000,0.421875,0.562500,0.437500
0.121094,0.468750,0.125000,0.500000
0.109375,0.390625,0.125000,0.406250
0.656250,0.625000,0.687500,0.750000
0.000000,0.328125,0.250000,0.343750
0.375000,0.062500,0.500000,0.093750
0.500000,0.312500,0.625000,0.343750
0.187500,0.390625,0.250000,0.406250
0.248047,0.484375,0.250000,0.492188
0.250000,0.347656,0.500000,0.351562
0.625000,0.312500,0.750000,0.343750
0.375000,0.359375,0.500000,0.375000
0.500000,0.375000,0.562500,0.406250
0.500000,0.468750,0.562500,0.500000
0.312500,0.421875,0.375000,0.437500
0.125000,0.460938,0.187500,0.468750
0.500000,0.406250,0.562500,0.421875
0.562500,0.375000,0.625000,0.406250
0.625000,0.375000,0.750000,0.437500
0.375000,0.687500,0.500000,0.750000
0.296875,0.468750,0.312500,0.500000
0.125000,0.625000,0.187500,0.750000
0.312500,0.453125,0.375000,0.468750
0.375000,0.445312,0.500000,0.453125
0.121094,0.421875,0.125000,0.437500
0.312500,0.390625,0.375000,0.406250
0.750000,0.296875,1.000000,0.312500
0.265625,0.496094,0.273438,0.500000
0.007812,0.468750,0.015625,0.500000
0.218750,0.406250,0.250000,0.414062
0.109375,0.750000,0.117188,1.000000
0.046875,0.453125,0.062500,0.468750
0.242188,0.562500,0.244141,0.625000
0.023438,0.500000,0.031250,1.000000
0.054688,0.500000,0.062500,1.000000
0.046875,0.484375,0.054688,0.500000
0.250000,0.625000,0.265625,0.750000
0.039062,0.500000,0.046875,1.000000
0.023438,0.468750,0.031250,0.500000
0.015625,0.453125,0.031250,0.468750
0.187500,0.265625,0.250000,0.281250
0.054688,0.468750,0.062500,0.500000
0.007812,0.500000,0.015625,1.000000
0.015625,0.500000,0.023438,1.000000
0.015625,0.468750,0.023438,0.500000
0.000000,0.453125,0.015625,0.468750
0.031250,0.445312,0.062500,0.453125
0.125000,0.375000,0.250000,0.390625
0.253906,0.453125,0.257812,0.468750
0.031250,0.500000,0.039062,1.000000
0.031250,0.468750,0.039062,0.500000
0.031250,0.453125,0.046875,0.468750
0.046875,0.500000,0.054688,1.000000
0.238281,0.437500,0.242188,0.445312
0.000000,0.500000,0.007812,1.000000
0.000000,0.468750,0.007812,0.500000
0.101562,0.468750,0.109375,0.500000
0.085938,0.500000,0.093750,1.000000
0.296875,0.687500,0.312500,0.750000
0.312500,0.234375,0.375000,0.250000
0.375000,0.156250,0.500000,0.187500
0.500000,0.093750,1.000000,0.125000
0.375000,0.218750,0.500000,0.250000
0.125000,0.093750,0.250000,0.125000
0.250000,0.171875,0.375000,0.187500
0.500000,0.125000,1.000000,0.187500
0.238281,0.484375,0.242188,0.500000
0.500000,0.187500,1.000000,0.218750
0.187500,0.257812,0.250000,0.265625
0.250000,0.187500,0.375000,0.218750
0.000000,0.304688,0.125000,0.312500
0.296875,0.437500,0.312500,0.453125
0.125000,0.125000,0.250000,0.156250
0.250000,0.125000,0.375000,0.156250
0.156250,0.218750,0.187500,0.234375
0.250000,0.218750,0.375000,0.234375
0.000000,0.156250,0.250000,0.171875
0.250000,0.156250,0.375000,0.171875
0.375000,0.125000,0.500000,0.156250
0.375000,0.281250,0.500000,0.296875
0.000000,0.125000,0.125000,0.156250
0.125000,0.000000,0.250000,0.062500
0.250000,0.000000,0.500000,0.062500
0.000000,0.000000,0.125000,0.062500
0.187500,0.281250,0.250000,0.296875
0.257812,0.460938,0.265625,0.468750
0.375000,0.250000,0.500000,0.281250
0.500000,0.281250,0.750000,0.296875
0.750000,0.281250,1.000000,0.296875
0.437500,0.500000,0.500000,0.562500
0.500000,0.687500,0.562500,0.750000
0.375000,0.453125,0.500000,0.468750
0.265625,0.750000,0.273438,1.000000
0.375000,0.656250,0.500000,0.687500
0.312500,0.445312,0.375000,0.453125
0.375000,0.421875,0.500000,0.437500
0.281250,0.625000,0.296875,0.750000
0.375000,0.312500,0.500000,0.328125
0.375000,0.406250,0.500000,0.421875
