x,y,f
0.005208,0.005208,-3.962637
0.015625,0.005208,-3.833653
0.026042,0.005208,-3.704668
0.036458,0.005208,-3.575684
0.046875,0.005208,-3.446699
0.057292,0.005208,-3.317715
0.067708,0.005208,-3.188730
0.078125,0.005208,-3.059746
0.088542,0.005208,-2.930761
0.098958,0.005208,-2.801777
0.109375,0.005208,-2.672792
0.119792,0.005208,-2.543807
0.130208,0.005208,-2.302326
0.140625,0.005208,-1.948347
0.151042,0.005208,-1.594368
0.161458,0.005208,-1.240390
0.171875,0.005208,-0.886411
0.182292,0.005208,-0.532432
0.192708,0.005208,-0.178454
0.203125,0.005208,0.175525
0.213542,0.005208,0.529504
0.223958,0.005208,0.883482
0.234375,0.005208,1.237461
0.244792,0.005208,1.591440
0.255208,0.005208,1.740336
0.265625,0.005208,1.684150
0.276042,0.005208,1.627964
0.286458,0.005208,1.571779
0.296875,0.005208,1.515593
0.307292,0.005208,1.459407
0.317708,0.005208,1.403221
0.328125,0.005208,1.347035
0.338542,0.005208,1.290850
0.348958,0.005208,1.234664
0.359375,0.005208,1.178478
0.369792,0.005208,1.122292
0.380208,0.005208,1.066106
0.390625,0.005208,1.009920
0.401042,0.005208,0.953735
0.411458,0.005208,0.897549
0.421875,0.005208,0.841363
0.432292,0.005208,0.785177
0.442708,0.005208,0.728991
0.453125,0.005208,0.672806
0.463542,0.005208,0.616620
0.473958,0.005208,0.560434
0.484375,0.005208,0.504248
0.494792,0.005208,0.448062
0.505208,0.005208,0.390712
0.515625,0.005208,0.332196
0.526042,0.005208,0.273680
0.536458,0.005208,0.215164
0.546875,0.005208,0.156649
0.557292,0.005208,0.098133
0.567708,0.005208,0.039617
0.578125,0.005208,-0.018899
0.588542,0.005208,-0.077414
0.598958,0.005208,-0.135930
0.609375,0.005208,-0.194446
0.619792,0.005208,-0.252962
0.630208,0.005208,-0.311477
0.640625,0.005208,-0.369993
0.651042,0.005208,-0.428509
0.661458,0.005208,-0.487025
0.671875,0.005208,-0.545541
0.682292,0.005208,-0.604056
0.692708,0.005208,-0.662572
0.703125,0.005208,-0.721088
0.713542,0.005208,-0.779604
0.723958,0.005208,-0.838119
0.734375,0.005208,-0.896635
0.744792,0.005208,-0.955151
0.755208,0.005208,-1.013667
0.765625,0.005208,-1.072182
0.776042,0.005208,-1.130698
0.786458,0.005208,-1.189214
0.796875,0.005208,-1.247730
0.807292,0.005208,-1.306245
0.817708,0.005208,-1.364761
0.828125,0.005208,-1.423277
0.838542,0.005208,-1.481793
0.848958,0.005208,-1.540308
0.859375,0.005208,-1.598824
0.869792,0.005208,-1.657340
0.880208,0.005208,-1.715856
0.890625,0.005208,-1.774371
0.901042,0.005208,-1.832887
0.911458,0.005208,-1.891403
0.921875,0.005208,-1.949919
0.932292,0.005208,-2.008434
0.942708,0.005208,-2.066950
0.953125,0.005208,-2.125466
0.963542,0.005208,-2.183982
0.973958,0.005208,-2.242497
0.984375,0.005208,-2.301013
0.994792,0.005208,-2.359529
0.005208,0.015625,-3.969129
0.015625,0.015625,-3.834847
0.026042,0.015625,-3.700565
0.036458,0.015625,-3.566283
0.046875,0.015625,-3.432001
0.057292,0.015625,-3.297719
0.067708,0.015625,-3.163437
0.078125,0.015625,-3.029155
0.088542,0.015625,-2.894872
0.098958,0.015625,-2.760590
0.109375,0.015625,-2.626308
0.119792,0.015625,-2.492026
0.130208,0.015625,-2.261741
0.140625,0.015625,-1.935452
0.151042,0.015625,-1.609164
0.161458,0.015625,-1.282875
0.171875,0.015625,-0.956586
0.182292,0.015625,-0.630298
0.192708,0.015625,-0.304009
0.203125,0.015625,0.022280
0.213542,0.015625,0.348568
0.223958,0.015625,0.674857
0.234375,0.015625,1.001146
0.244792,0.015625,1.327434
0.255208,0.015625,1.469519
0.265625,0.015625,1.427400
0.276042,0.015625,1.385280
0.286458,0.015625,1.343161
0.296875,0.015625,1.301042
0.307292,0.015625,1.258922
0.317708,0.015625,1.216803
0.328125,0.015625,1.174684
0.338542,0.015625,1.132564
0.348958,0.015625,1.090445
0.359375,0.015625,1.048326
0.369792,0.015625,1.006206
0.380208,0.015625,0.964087
0.390625,0.015625,0.921968
0.401042,0.015625,0.879848
0.411458,0.015625,0.837729
0.421875,0.015625,0.795610
0.432292,0.015625,0.753490
0.442708,0.015625,0.711371
0.453125,0.015625,0.669252
0.463542,0.015625,0.627132
0.473958,0.015625,0.585013
0.484375,0.015625,0.542894
0.494792,0.015625,0.500774
0.505208,0.015625,0.451083
0.515625,0.015625,0.393818
0.526042,0.015625,0.336554
0.536458,0.015625,0.279290
0.546875,0.015625,0.222025
0.557292,0.015625,0.164761
0.567708,0.015625,0.107497
0.578125,0.015625,0.050233
0.588542,0.015625,-0.007032
0.598958,0.015625,-0.064296
0.609375,0.015625,-0.121560
0.619792,0.015625,-0.178824
0.630208,0.015625,-0.236089
0.640625,0.015625,-0.293353
0.651042,0.015625,-0.350617
0.661458,0.015625,-0.407881
0.671875,0.015625,-0.465146
0.682292,0.015625,-0.522410
0.692708,0.015625,-0.579674
0.703125,0.015625,-0.636938
0.713542,0.015625,-0.694203
0.723958,0.015625,-0.751467
0.734375,0.015625,-0.808731
0.744792,0.015625,-0.865995
0.755208,0.015625,-0.923260
0.765625,0.015625,-0.980524
0.776042,0.015625,-1.037788
0.786458,0.015625,-1.095052
