x,y,state
0.171875,0.234375,2
0.171875,0.250000,2
0.171875,0.242188,0
0.500000,0.355469,2
0.240234,0.484375,2
0.239258,0.476562,2
0.239258,0.468750,0
0.239258,0.453125,2
0.125000,0.351562,2
0.238281,0.500000,2
0.234375,0.476562,2
0.238281,0.476562,0
0.123047,0.460938,2
0.093750,0.375000,2
0.123047,0.453125,1
0.123047,0.437500,2
0.238281,0.484375,0
0.238281,0.468750,0
0.187500,0.242188,1
0.187500,0.390625,2
0.248047,0.484375,2
0.247559,0.496094,2
0.240234,0.460938,0
0.273438,0.453125,2
0.218750,0.445312,2
1.000000,0.343750,1
0.218750,0.484375,2
0.750000,0.359375,2
0.625000,0.351562,2
0.500000,0.347656,2
0.250000,0.347656,0
0.000000,0.347656,1
0.296875,0.445312,2
0.246094,0.562500,2
0.250000,0.242188,2
0.247559,0.625000,2
0.247559,0.562500,0
0.247559,0.500000,1
0.234375,0.414062,2
0.500000,0.351562,1
0.250000,0.351562,0
0.000000,0.351562,1
0.234375,0.445312,0
0.242188,0.441406,2
0.281250,0.445312,0
0.265625,0.441406,2
0.187500,0.187500,2
0.156250,0.218750,2
0.187500,0.218750,1
0.156250,0.234375,1
0.247070,0.562500,1
0.125000,0.218750,0
0.593750,0.562500,1
0.593750,1.000000,1
0.593750,0.750000,0
0.125000,0.093750,2
0.234375,1.000000,1
0.085938,1.000000,0
0.187500,0.296875,2
0.875000,0.781250,0
0.031250,0.445312,0
0.750000,0.531250,0
0.101562,1.000000,0
0.125000,0.187500,0
0.750000,0.562500,0
0.062500,0.445312,2
0.250000,0.437500,0
0.117188,0.468750,1
0.242188,0.460938,2
0.117188,1.000000,0
0.240234,0.476562,1
0.273438,0.468750,2
0.375000,0.296875,1
0.273438,0.500000,0
0.281250,0.453125,0
0.125000,0.234375,1
0.265625,0.468750,0
0.265625,1.000000,0
0.257812,0.414062,2
0.265625,0.500000,0
0.296875,1.000000,0
1.000000,0.296875,1
0.257812,0.445312,1
0.500000,0.296875,1
0.000000,0.296875,0
0.000000,0.062500,1
0.312500,0.500000,0
0.156250,0.281250,2
0.000000,0.234375,0
0.000000,0.156250,0
0.312500,0.593750,2
0.000000,0.218750,1
0.312500,0.656250,2
0.593750,0.625000,0
1.000000,0.218750,1
0.218750,0.453125,0
0.244141,0.625000,1
0.000000,0.453125,0
0.273438,0.496094,2
0.125000,0.281250,0
0.281250,0.500000,0
0.242188,0.445312,1
0.250000,0.156250,0
0.562500,0.593750,2
0.000000,0.406250,1
0.500000,0.343750,0
0.240234,0.445312,2
0.273438,0.437500,2
0.007812,0.500000,0
0.812500,0.781250,2
0.248047,0.625000,0
0.593750,0.687500,2
0.437500,0.468750,2
0.070312,0.500000,0
1.000000,0.281250,1
0.240234,0.468750,1
0.812500,0.843750,2
0.078125,0.500000,0
