x0,y0,x1,y1
0.312500,0.500000,0.375000,0.515625
0.250000,0.687500,0.500000,0.750000
0.250000,0.523438,0.500000,0.531250
0.750000,0.640625,1.000000,0.656250
0.250000,0.593750,0.500000,0.625000
0.750000,0.593750,1.000000,0.625000
0.375000,0.437500,0.500000,0.500000
0.125000,0.507812,0.250000,0.515625
0.125000,0.437500,0.187500,0.500000
0.500000,0.570312,1.000000,0.578125
0.468750,0.375000,0.500000,0.406250
0.500000,0.687500,1.000000,0.750000
0.125000,0.718750,0.250000,0.750000
0.500000,0.640625,0.750000,0.656250
0.250000,0.656250,0.500000,0.687500
0.500000,0.750000,1.000000,1.000000
0.125000,0.656250,0.250000,0.687500
0.125000,0.625000,0.250000,0.656250
0.250000,0.640625,0.500000,0.656250
0.062500,0.875000,0.125000,1.000000
0.031250,0.687500,0.062500,0.718750
0.015625,0.742188,0.031250,0.750000
0.375000,0.156250,0.437500,0.187500
0.062500,0.601562,0.125000,0.609375
0.062500,0.812500,0.125000,0.875000
0.250000,0.578125,0.500000,0.585938
0.406250,0.351562,0.437500,0.359375
0.125000,0.687500,0.250000,0.718750
0.750000,0.656250,1.000000,0.687500
0.500000,0.593750,0.750000,0.625000
0.500000,0.656250,0.750000,0.687500
0.500000,0.625000,0.750000,0.640625
0.750000,0.625000,1.000000,0.640625
0.250000,0.625000,0.500000,0.640625
0.125000,0.578125,0.250000,0.585938
0.500000,0.585938,1.000000,0.593750
0.125000,0.585938,0.250000,0.593750
0.500000,0.578125,1.000000,0.585938
0.062500,0.562500,0.125000,0.570312
0.500000,0.562500,1.000000,0.570312
0.406250,0.312500,0.437500,0.343750
0.406250,0.250000,0.437500,0.281250
0.000000,0.062500,0.125000,0.125000
0.625000,0.500000,0.750000,0.515625
0.125000,0.187500,0.187500,0.250000
0.007812,0.597656,0.015625,0.601562
0.500000,0.351562,0.562500,0.359375
0.062500,0.507812,0.125000,0.515625
0.500000,0.523438,1.000000,0.531250
0.437500,0.347656,0.468750,0.351562
0.093750,0.250000,0.125000,0.375000
0.062500,0.656250,0.125000,0.687500
0.007812,0.718750,0.015625,0.734375
0.031250,0.375000,0.062500,0.437500
0.125000,0.062500,0.187500,0.125000
0.187500,0.062500,0.250000,0.125000
0.125000,0.125000,0.187500,0.187500
0.250000,0.156250,0.375000,0.187500
0.437500,0.000000,0.500000,0.125000
0.031250,0.187500,0.062500,0.250000
0.125000,0.000000,0.187500,0.062500
0.187500,0.000000,0.250000,0.062500
0.000000,0.000000,0.125000,0.062500
0.375000,0.500000,0.500000,0.515625
0.500000,0.187500,1.000000,0.250000
0.312500,0.437500,0.375000,0.500000
0.375000,0.515625,0.500000,0.523438
0.312500,0.406250,0.375000,0.437500
0.750000,0.312500,1.000000,0.343750
0.125000,0.312500,0.187500,0.375000
0.406250,0.296875,0.437500,0.312500
0.093750,0.187500,0.125000,0.250000
0.406250,0.187500,0.437500,0.218750
0.187500,0.343750,0.250000,0.375000
0.250000,0.218750,0.375000,0.250000
0.250000,0.000000,0.375000,0.125000
0.375000,0.234375,0.406250,0.250000
0.375000,0.000000,0.437500,0.125000
0.437500,0.125000,0.500000,0.187500
0.500000,0.000000,1.000000,0.125000
0.187500,0.156250,0.250000,0.187500
0.500000,0.125000,1.000000,0.187500
0.187500,0.218750,0.250000,0.250000
0.250000,0.187500,0.375000,0.218750
0.015625,0.580078,0.023438,0.582031
0.187500,0.187500,0.250000,0.218750
0.250000,0.125000,0.375000,0.156250
0.187500,0.125000,0.250000,0.156250
0.375000,0.125000,0.437500,0.156250
0.062500,0.531250,0.125000,0.539062
0.250000,0.585938,0.500000,0.593750
0.062500,0.515625,0.125000,0.519531
0.187500,0.281250,0.250000,0.312500
0.250000,0.875000,0.500000,1.000000
0.250000,0.750000,0.500000,0.875000
0.125000,0.875000,0.250000,1.000000
0.031250,0.742188,0.062500,0.750000
0.125000,0.812500,0.250000,0.875000
0.023438,0.726562,0.031250,0.734375
0.125000,0.523438,0.250000,0.531250
0.062500,0.750000,0.125000,0.812500
0.125000,0.750000,0.250000,0.812500
0.062500,0.687500,0.125000,0.718750
0.500000,0.531250,1.000000,0.562500
0.062500,0.437500,0.125000,0.500000
0.125000,0.375000,0.187500,0.437500
0.000000,0.437500,0.062500,0.500000
0.062500,0.125000,0.125000,0.187500
0.031250,0.750000,0.062500,0.812500
0.125000,0.519531,0.250000,0.523438
0.500000,0.359375,0.562500,0.375000
0.750000,0.500000,1.000000,0.515625
0.093750,0.375000,0.125000,0.437500
0.031250,0.250000,0.062500,0.375000
0.000000,0.250000,0.031250,0.375000
0.000000,0.187500,0.031250,0.250000
0.000000,0.125000,0.062500,0.187500
0.000000,0.375000,0.031250,0.437500
0.062500,0.250000,0.093750,0.375000
0.062500,0.375000,0.093750,0.437500
0.062500,0.187500,0.093750,0.250000
0.625000,0.312500,0.750000,0.343750
0.750000,0.343750,1.000000,0.375000
0.468750,0.187500,0.500000,0.218750
0.750000,0.375000,1.000000,0.500000
0.562500,0.351562,0.625000,0.359375
0.562500,0.312500,0.625000,0.343750
0.562500,0.375000,0.625000,0.437500
0.437500,0.406250,0.500000,0.437500
0.484375,0.312500,0.500000,0.343750
0.250000,0.546875,0.500000,0.562500
0.562500,0.437500,0.625000,0.500000
0.250000,0.562500,0.500000,0.570312
0.125000,0.574219,0.250000,0.578125
0.062500,0.578125,0.125000,0.585938
0.250000,0.531250,0.500000,0.546875
0.625000,0.437500,0.750000,0.500000
0.750000,0.515625,1.000000,0.523438
0.625000,0.375000,0.750000,0.437500
0.187500,0.437500,0.250000,0.500000
0.468750,0.359375,0.500000,0.375000
0.500000,0.437500,0.562500,0.500000
0.500000,0.500000,0.625000,0.515625
0.500000,0.515625,0.750000,0.523438
0.125000,0.546875,0.250000,0.562500
0.500000,0.406250,0.562500,0.437500
0.250000,0.375000,0.375000,0.406250
0.187500,0.375000,0.250000,0.437500
0.500000,0.375000,0.562500,0.406250
0.250000,0.437500,0.312500,0.500000
0.250000,0.500000,0.312500,0.515625
0.250000,0.515625,0.375000,0.523438
0.250000,0.406250,0.312500,0.437500
0.250000,0.312500,0.375000,0.343750
0.187500,0.312500,0.250000,0.343750
0.125000,0.250000,0.187500,0.312500
0.250000,0.250000,0.375000,0.281250
0.062500,0.546875,0.125000,0.562500
0.187500,0.250000,0.250000,0.281250
0.062500,0.585938,0.125000,0.593750
0.250000,0.570312,0.500000,0.578125
0.375000,0.296875,0.406250,0.312500
0.125000,0.515625,0.250000,0.519531
0.000000,0.521484,0.062500,0.523438
0.023438,0.580078,0.031250,0.582031
0.250000,0.296875,0.375000,0.312500
0.125000,0.539062,0.250000,0.546875
0.062500,0.625000,0.125000,0.656250
0.031250,0.609375,0.062500,0.625000
0.000000,0.507812,0.062500,0.515625
0.015625,0.597656,0.023438,0.601562
0.000000,0.500000,0.062500,0.507812
0.023438,0.589844,0.031250,0.593750
0.015625,0.574219,0.031250,0.576172
0.062500,0.500000,0.125000,0.507812
