x,y,f
0.005208,0.005208,-5.883887
0.015625,0.005208,-5.824384
0.026042,0.005208,-5.764882
0.036458,0.005208,-5.705379
0.046875,0.005208,-5.645877
0.057292,0.005208,-5.586374
0.067708,0.005208,-5.526871
0.078125,0.005208,-5.467369
0.088542,0.005208,-5.407866
0.098958,0.005208,-5.348364
0.109375,0.005208,-5.288861
0.119792,0.005208,-5.229359
0.130208,0.005208,-5.173563
0.140625,0.005208,-5.121474
0.151042,0.005208,-5.069385
0.161458,0.005208,-5.017297
0.171875,0.005208,-4.965208
0.182292,0.005208,-4.913119
0.192708,0.005208,-4.876525
0.203125,0.005208,-4.855427
0.213542,0.005208,-4.834328
0.223958,0.005208,-4.813229
0.234375,0.005208,-4.792131
0.244792,0.005208,-4.771032
0.255208,0.005208,-4.728698
0.265625,0.005208,-4.665128
0.276042,0.005208,-4.601559
0.286458,0.005208,-4.537989
0.296875,0.005208,-4.474419
0.307292,0.005208,-4.410850
0.317708,0.005208,-4.347280
0.328125,0.005208,-4.283711
0.338542,0.005208,-4.220141
0.348958,0.005208,-4.156571
0.359375,0.005208,-4.093002
0.369792,0.005208,-4.029432
0.380208,0.005208,-3.963730
0.390625,0.005208,-3.895896
0.401042,0.005208,-3.828062
0.411458,0.005208,-3.760228
0.421875,0.005208,-3.692393
0.432292,0.005208,-3.624559
0.442708,0.005208,-3.561002
0.453125,0.005208,-3.501723
0.463542,0.005208,-3.442443
0.473958,0.005208,-3.383163
0.484375,0.005208,-3.323883
0.494792,0.005208,-3.264604
0.505208,0.005208,-3.223476
0.515625,0.005208,-3.200502
0.526042,0.005208,-3.177527
0.536458,0.005208,-3.154552
0.546875,0.005208,-3.131577
0.557292,0.005208,-3.108602
0.567708,0.005208,-3.085627
0.578125,0.005208,-3.062653
0.588542,0.005208,-3.039678
0.598958,0.005208,-3.016703
0.609375,0.005208,-2.993728
0.619792,0.005208,-2.970753
0.630208,0.005208,-2.947779
0.640625,0.005208,-2.924804
0.651042,0.005208,-2.901829
0.661458,0.005208,-2.878854
0.671875,0.005208,-2.855879
0.682292,0.005208,-2.832905
0.692708,0.005208,-2.809930
0.703125,0.005208,-2.786955
0.713542,0.005208,-2.763980
0.723958,0.005208,-2.741005
0.734375,0.005208,-2.718031
0.744792,0.005208,-2.695056
0.755208,0.005208,-2.672081
0.765625,0.005208,-2.649106
0.776042,0.005208,-2.626131
0.786458,0.005208,-2.603156
0.796875,0.005208,-2.580182
0.807292,0.005208,-2.557207
0.817708,0.005208,-2.534232
0.828125,0.005208,-2.511257
0.838542,0.005208,-2.488282
0.848958,0.005208,-2.465308
0.859375,0.005208,-2.442333
0.869792,0.005208,-2.419358
