x,y,state
0.046875,1.000000,1
0.046875,0.875000,1
0.046875,0.843750,2
0.023438,0.843750,2
0.023438,0.812500,0
0.023438,0.750000,2
0.007812,0.597656,2
0.007812,0.609375,2
0.007812,0.601562,0
0.062500,0.843750,2
0.015625,0.605469,2
0.031250,0.843750,0
0.023438,0.726562,1
0.015625,0.726562,2
0.015625,0.597656,1
0.031250,0.597656,2
0.023438,0.597656,1
0.023438,0.589844,0
0.062500,0.582031,2
0.023438,0.580078,1
0.015625,0.580078,2
0.031250,1.000000,1
0.031250,0.875000,0
0.023438,0.585938,1
0.023438,0.593750,1
0.031250,0.640625,2
0.023438,0.582031,0
0.007812,0.640625,2
0.023438,0.718750,0
0.625000,0.296875,2
0.562500,0.312500,2
0.062500,0.577148,2
0.468750,0.406250,2
0.484375,0.312500,2
0.031250,0.671875,2
0.406250,0.351562,2
0.031250,0.562500,2
0.484375,0.351562,2
0.015625,0.640625,1
0.000000,0.640625,0
0.015625,0.578125,0
0.015625,0.576172,0
0.015625,0.574219,0
0.406250,0.359375,0
0.015625,0.601562,1
0.015625,0.703125,1
0.023438,0.656250,0
0.625000,0.351562,2
0.562500,0.347656,2
0.375000,0.359375,0
0.437500,0.351562,1
0.468750,0.347656,1
0.023438,0.742188,2
0.023438,0.734375,1
0.000000,0.738281,1
0.000000,0.742188,1
0.031250,0.738281,2
0.015625,0.738281,0
0.062500,0.542969,0
0.000000,0.542969,1
0.000000,0.527344,0
0.125000,0.527344,2
0.062500,0.527344,0
0.015625,0.609375,1
1.000000,0.296875,1
0.750000,0.289062,2
0.625000,0.359375,1
0.562500,0.351562,1
0.500000,0.351562,1
0.250000,0.609375,2
0.031250,0.625000,1
0.031250,0.609375,0
0.250000,0.359375,2
0.062500,0.519531,1
0.015625,0.742188,1
0.125000,0.734375,2
0.023438,0.687500,1
0.062500,0.742188,2
0.031250,0.742188,1
0.000000,0.609375,0
0.500000,0.289062,0
0.125000,0.609375,1
0.437500,0.289062,2
0.062500,0.609375,1
0.015625,0.593750,1
1.000000,0.281250,1
0.484375,0.347656,0
0.750000,0.296875,1
0.750000,0.281250,1
0.500000,0.296875,1
0.015625,0.718750,1
0.015625,0.750000,1
0.015625,0.734375,1
0.000000,0.589844,1
0.062500,0.589844,2
0.031250,0.589844,1
0.062500,0.531250,1
0.062500,0.546875,1
0.031250,0.582031,1
0.000000,0.582031,0
0.031250,0.576172,1
0.031250,0.656250,1
0.125000,0.576172,2
0.562500,0.359375,1
0.500000,0.359375,1
0.015625,0.570312,2
0.468750,0.359375,1
0.062500,0.562500,1
0.468750,0.250000,2
0.468750,0.187500,2
0.023438,0.671875,1
0.031250,0.577148,0
0.437500,0.406250,1
0.015625,0.585938,1
